qtr,converged,H,Li,tcon,fff,tmm_C,tav_C,tvih_C,RVN0,RVN,RV1,U_W,yn,GG_out_kg_s,GL_out_kg_s,GL_in_kg_s,phiG_formula,phiL_formula,VG_out_m_s,VL_out_m_s,VL_in_m_s,deltaP_Pa,sumPsiL_Pa,delta_pX_Pa,delta_pL1_Pa,delta_Pu_Pa,rhoef_kg_m3,Hy_m,chiG1_mass,GL1_lph,GL0_lph,GG0_lph,phiG1_true
2.48,True,2.5,200.0,0.0,67.6562066157054,0.2369740306163073,0.19557872639268292,0.18740304776631916,0.0002476166260121629,0.0003943119483723446,0.00024763208364108735,496.0,0.17726299541661455,0.002110592637221414,0.14279469154543856,0.14490528418265997,0.2648043703061308,0.7351956296938692,0.14898972084490494,0.3796175460936627,0.2832183279904884,5394.1798681065875,4389.922428501022,735.7095821703168,244.10384348089016,24.44401395435824,707.6838825116922,2.4998439456158392,0.01456532554438051,554.1576389495381,562.3484268560669,8.190787906528866,0.1238536766627656
5.0,True,2.5,200.0,0.0,31.79076288913632,0.24020750149018966,0.19649060221641396,0.16690418673967353,0.00012284159127219348,0.00019649060221641395,0.00012282551348597934,1000.0,0.08466224888100082,0.004255227091172206,0.13527691549488485,0.13953214258605706,0.35799537985154406,0.6420046201484559,0.22218889877166645,0.4118344478607608,0.272716487511519,7293.931035867351,6481.904752119846,434.61016654764546,343.6846661229993,33.73145107685977,630.2747169121378,2.500327248503951,0.0304963932489446,524.9826536525492,541.4963389479702,16.5136852954211,0.231267332629129
10.0,True,2.5,200.0,0.0,13.035033545064714,0.24226329171166944,0.19085137106858183,0.14468229676057046,6.14188215133639e-05,9.542568553429092e-05,6.141275674298967e-05,2000.0,0.03623695816601849,0.008510454182344413,0.1109340557505957,0.11944450993294012,0.45901954692443003,0.54098045307557,0.3465760869989895,0.4007932967979647,0.23345507778865873,9351.93440496232,8624.385247842898,243.16589201054362,448.98055449107886,35.40271061779845,546.3589345137168,2.5002468856104123,0.07125027501994396,430.51288355691185,463.5402541477541,33.0273705908422,0.42320412779676064
20.0,True,2.5,200.0,0.0,4.68444623793069,0.24330998194410097,0.18242479529319267,0.12334997093169195,3.070921899608166e-05,4.560619882329817e-05,3.0706378371494835e-05,4000.0,0.014676633287656726,0.017020908364688826,0.07973353015512959,0.09675443851981841,0.5559996170542185,0.4440003829457814,0.5722493093501708,0.35099002937416046,0.18910718444676702,11327.708186053385,10626.24398490765,145.6904911001176,520.5474141078893,35.22629593772822,465.80238356365055,2.500231273170061,0.1759186309701172,309.429883826027,375.4846250077113,66.0547411816844,0.671231254281046
30.0,True,2.5,200.0,0.0,2.441877066441495,0.24360107516952828,0.17700248723737044,0.11139380695568987,2.0471693585687067e-05,2.950041453956174e-05,2.0470918914329888e-05,6000.0,0.008886559114287018,0.025531362547033237,0.06234444867860377,0.08787581122563701,0.6103541975241198,0.38964580247588015,0.7819321915427542,0.3127266684833872,0.17175384918855097,12434.426394277602,11732.133681538991,118.5814173038603,539.5308220943542,44.18047334039605,420.6527200798732,2.5000946063242715,0.2905391391662588,241.94633643192552,341.02844820445216,99.0821117725266,0.7966099816331563
40.0,True,2.5,200.0,0.0,1.4790702093574306,0.2437107470232019,0.17245819222115877,0.10185759678917536,1.5354262120905275e-05,2.1557274027644845e-05,1.5353189185747417e-05,8000.0,0.006400694603163037,0.03404181672937765,0.050350236996827884,0.08439205372620553,0.6537072917033306,0.34629270829666936,0.9734338316135228,0.2841811738113641,0.16494482231504118,13318.062970215866,12592.334771532755,108.36780238094187,556.574855778327,60.78554052384209,384.6414475017366,2.500174708841414,0.40337703878874726,195.39919973728968,327.5086821006585,132.1094823633688,0.8660635867241087
50.0,True,2.5,200.0,0.0,0.9537877465147915,0.24375636594023414,0.1682182358322975,0.09314999822311916,1.2283098197462337e-05,1.6821823583229752e-05,1.2282551348597933e-05,10000.0,0.005044471365772542,0.04255227091172206,0.0405858345819783,0.08313810549370036,0.6932933887080458,0.3067066112919542,1.1473151267573294,0.25863570222001286,0.16249397227323684,14124.197440856571,13364.486793416014,104.11935805483644,572.536783468792,83.05450591692858,351.7592332900241,2.500111306040757,0.5118263239104767,157.50550684574142,322.64235979995243,165.13685295421098,0.9093167597095799
60.0,True,2.5,200.0,0.0,0.6274361263362114,0.2437704959211412,0.1642430593085755,0.08507308844152428,1.0235467942340512e-05,1.3686921609047958e-05,1.0235459457164944e-05,12000.0,0.004201866325332003,0.05106272509406647,0.03203859843319192,0.0831013235272584,0.7300122764343274,0.2699877235656726,1.307527587394726,0.231935177896973,0.1624220816786691,14871.607314965522,14083.528123539352,102.8034462259741,575.222684896906,110.05306030328944,321.2586681121134,2.5000020724950365,0.614463439650479,124.33539279953122,322.4996163445844,198.1642235450532,0.9384350093867757
71.18,True,2.5,200.0,0.0,0.39000431005706565,0.24376004956012157,0.16005043443600156,0.07661578130122898,8.628217177809671e-06,1.1242654849396006e-05,8.627810725342746e-06,14236.000000000002,0.003588842725056061,0.06057741286992754,0.0236254521113781,0.08420286498130564,0.7684605097003256,0.2315394902996744,1.4735545003607908,0.19943077955984814,0.16457505167273923,15655.588558515346,14852.225373223344,103.77630603544716,554.3259379529327,145.2609413036239,289.3216210684543,2.500117773928945,0.7194222296756373,91.68565455383614,326.774478419451,235.08882386561487,0.9608193841248607
76.68,True,2.5,200.0,0.0,0.30481416770603487,0.24374626478095893,0.1580324800500546,0.0725631526618553,8.00936365011146e-06,1.0304673973008254e-05,8.008966711396668e-06,15336.000000000002,0.00336889087281293,0.06525816267021696,0.019891612540347214,0.08514977521056417,0.786884389628336,0.2131156103716641,1.5502471743411355,0.18242815277334987,0.1664257939241373,16030.971402448258,15227.2675275311,105.06006929077576,534.3347970675286,164.3090085588533,274.01781462520876,2.5001239044714176,0.7663926593915501,77.19536994657948,330.4492476371575,253.253877690578,0.9691134179535452
